query,time
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_C1.txt, 0:04.04
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_C2.txt, 0:02.13
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_C3.txt, 0:01.26
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F1.txt, 0:01.57
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F2.txt, 0:01.33
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F3.txt, 0:23.31
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F4.txt, 0:11.07
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F5.txt, 0:54.40
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L1.txt, 0:05.88
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L2.txt, 0:03.05
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L3.txt, 0:03.60
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L4.txt, 0:01.44
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L5.txt, 0:06.53
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S1.txt, 0:17.51
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S2.txt, 0:02.01
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S3.txt, 0:02.00
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S4.txt, 0:01.99
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S5.txt, 0:01.58
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S6.txt, 0:00.61
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S7.txt, 0:00.64
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_C1.txt, 0:00.80
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_C2.txt, 0:01.38
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_C3.txt, 0:00.80
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_F1.txt, 0:00.82
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_F2.txt, 0:00.98
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_F3.txt, 0:25.77
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_F4.txt, 0:01.04
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_F5.txt, 0:00.86
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_L1.txt, 0:04.43
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_L2.txt, 0:03.18
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_L3.txt, 0:03.56
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_L4.txt, 0:01.49
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_L5.txt, 0:02.29
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_S1.txt, 0:07.12
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_S2.txt, 0:02.05
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_S3.txt, 0:02.19
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_S4.txt, 0:01.92
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_S5.txt, 0:01.71
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_S6.txt, 0:00.65
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_S7.txt, 0:00.71
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_C1.txt, 0:12.27
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_C2.txt, 0:00.84
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_C3.txt, 0:22.66
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_F1.txt, 0:00.75
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_F2.txt, 0:00.90
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_F3.txt, 0:01.74
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_F4.txt, 0:09.08
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_F5.txt, 0:00.89
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_L1.txt, 0:04.33
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_L2.txt, 0:06.10
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_L3.txt, 0:03.49
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_L4.txt, 0:01.40
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_L5.txt, 0:01.94
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_S1.txt, 0:14.48
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_S2.txt, 0:02.09
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_S3.txt, 0:02.50
