query,time
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_C1.txt, 0:02.98
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_C2.txt, 1:17.51
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_C3.txt, 1:56.15
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_F1.txt, 0:01.04
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_F2.txt, 0:30.86
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_F3.txt, 0:01.02
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_F4.txt, 0:01.63
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_F5.txt, 0:24.03
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_L1.txt, 0:08.83
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_L2.txt, 0:10.02
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_L3.txt, 0:05.08
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_L4.txt, 0:08.92
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_L5.txt, 0:09.76
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S1.txt, 0:01.25
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S2.txt, 0:22.76
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S3.txt, 0:19.40
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S4.txt, 0:20.40
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S5.txt, 0:16.40
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S6.txt, 0:14.47
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S7.txt, 0:00.98
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_C1.txt, 0:01.50
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_C2.txt, 0:03.31
