query,time
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_C1.txt, 1:28.57
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_C2.txt, 0:05.25
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_C3.txt, 0:09.49
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F1.txt, 0:00.63
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F2.txt, 0:04.77
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F3.txt, 0:01.65
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F4.txt, 0:03.79
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F5.txt, 0:03.62
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L1.txt, 0:13.83
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L2.txt, 0:06.11
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L3.txt, 0:02.53
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L4.txt, 0:00.81
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L5.txt, 0:02.83
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S1.txt, 0:04.51
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S2.txt, 0:01.02
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S3.txt, 0:01.18
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S4.txt, 0:04.47
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S5.txt, 0:03.12
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S6.txt, 0:00.73
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S7.txt, 0:04.40
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_C1.txt, 0:54.66
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_C2.txt, 0:03.35
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_C3.txt, 0:09.16
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_F1.txt, 0:01.25
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_F2.txt, 0:04.37
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_F3.txt, 0:01.66
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_F4.txt, 0:04.17
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_F5.txt, 0:04.28
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_L1.txt, 0:03.05
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_L2.txt, 0:02.33
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_L3.txt, 0:01.56
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_L4.txt, 0:01.08
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_L5.txt, 0:04.29
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_S1.txt, 0:08.07
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_S2.txt, 0:01.04
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_S3.txt, 0:00.50
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_S4.txt, 0:04.62
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_S5.txt, 0:04.44
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_S6.txt, 0:00.64
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_S7.txt, 0:00.53
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_C1.txt, 3:24.44
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_C2.txt, 0:00.73
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_C3.txt, 0:08.90
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_F1.txt, 0:04.02
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_F2.txt, 0:04.47
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_F3.txt, 2:29.74
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_F4.txt, 0:04.24
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_F5.txt, 0:45.33
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_L1.txt, 0:12.84
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_L2.txt, 0:03.99
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_L3.txt, 0:01.48
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_L4.txt, 0:01.01
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_L5.txt, 0:04.30
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_S1.txt, 0:04.60
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_S2.txt, 0:05.01
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_S3.txt, 0:00.99
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_S4.txt, 0:01.36
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_S5.txt, 0:00.89
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_S6.txt, 0:00.63
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_12_S7.txt, 0:04.19
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_C1.txt, 0:31.10
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_C2.txt, 0:00.74
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_C3.txt, 0:09.04
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_F1.txt, 0:04.41
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_F2.txt, 0:52.42
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_F3.txt, 0:01.64
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_F4.txt, 0:04.20
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_F5.txt, 0:04.31
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_L1.txt, 0:13.03
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_L2.txt, 0:03.46
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_L3.txt, 0:02.45
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_L4.txt, 0:01.01
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_L5.txt, 0:02.72
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_S1.txt, 0:06.78
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_S2.txt, 0:01.04
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_S3.txt, 0:01.02
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_S4.txt, 0:04.50
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_S5.txt, 0:04.40
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_S6.txt, 0:00.64
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_13_S7.txt, 0:04.23
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_14_C1.txt, 0:44.56
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_14_C2.txt, 0:00.67
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_14_C3.txt, 0:09.06
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_14_F1.txt, 0:02.90
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_14_F2.txt, 0:04.69
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_14_F3.txt, 1:05.84
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_14_F4.txt, 0:09.50
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_14_F5.txt, 0:04.72
