query,time
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_C1.txt, 1:56.94
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_C2.txt, 5:45.14
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_C3.txt, 35:16.93
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_F1.txt, 0:10.20
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_F2.txt, 0:39.72
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_F3.txt, 0:02.80
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_F4.txt, 0:29.57
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_F5.txt, 0:33.12
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_L1.txt, 0:13.85
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_L2.txt, 0:16.48
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_L3.txt, 0:06.53
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_L4.txt, 0:13.14
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_L5.txt, 0:15.28
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S1.txt, 1:09.78
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S2.txt, 0:34.05
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S3.txt, 0:36.84
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S4.txt, 0:30.30
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S5.txt, 0:52.44
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S6.txt, 0:17.47
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S7.txt, 0:01.62
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_C1.txt, 1:51.38
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_C2.txt, 5:27.95
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_C3.txt, 35:36.70
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_F1.txt, 0:09.08
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_F2.txt, 0:44.92
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_F3.txt, 0:03.05
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_F4.txt, 0:30.88
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_F5.txt, 0:52.63
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_L1.txt, 0:13.76
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_L2.txt, 0:16.48
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_L3.txt, 0:06.70
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_L4.txt, 0:13.74
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_L5.txt, 0:15.49
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_S1.txt, 0:48.93
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_S2.txt, 0:32.76
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_S3.txt, 0:38.07
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_S4.txt, 0:38.80
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_S5.txt, 0:51.25
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_S6.txt, 0:17.61
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_S7.txt, 0:00.98
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_12_C1.txt, 1:55.12
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_12_C2.txt, 5:26.20
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_12_C3.txt, 35:09.85
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_12_F1.txt, 0:09.53
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_12_F2.txt, 0:40.54
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_12_F3.txt, 0:02.93
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_12_F4.txt, 0:30.92
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_12_F5.txt, 0:51.54
