query,time
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_C1.txt, 3:06.36
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_C2.txt, 9:22.35
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_C3.txt, 58:22.10
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_F1.txt, 0:15.99
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_F2.txt, 1:03.73
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_F3.txt, 0:03.86
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_F4.txt, 0:54.32
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_F5.txt, 0:53.61
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_L1.txt, 0:19.40
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_L2.txt, 0:26.12
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_L3.txt, 0:09.97
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_L4.txt, 0:21.27
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_L5.txt, 0:25.06
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S1.txt, 2:00.14
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S2.txt, 0:59.34
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S3.txt, 1:04.14
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S4.txt, 0:50.70
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S5.txt, 1:22.17
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S6.txt, 0:28.95
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_10_S7.txt, 0:01.22
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_C1.txt, 2:57.03
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_C2.txt, 9:02.64
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_C3.txt, 58:32.73
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_F1.txt, 0:18.58
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_F2.txt, 1:11.11
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_F3.txt, 0:04.26
watdiv/watdiv/bin/Release/datasets/1M/gen_queries/gen_queries_11_F4.txt, 0:54.07
