query,time
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_C1.txt, 0:18.80
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_C2.txt, 20:18.19
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_C3.txt, 1:41:25
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_F1.txt, 0:36.17
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_F2.txt, 0:10.90
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_F3.txt, 0:10.09
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_F4.txt, 2:00.46
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_F5.txt, 1:23.78
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_L1.txt, 0:54.21
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_L2.txt, 6:06.47
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_L3.txt, 0:38.43
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_L4.txt, 0:43.39
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_L5.txt, 0:17.19
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S1.txt, 1:21.84
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S2.txt, 0:14.19
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S3.txt, 1:27.25
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S4.txt, 0:56.48
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S5.txt, 1:41.22
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S6.txt, 0:12.19
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S7.txt, 0:04.90
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_C1.txt, 6:02.26
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_C2.txt, 20:36.08
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_C3.txt, 1:41:28
