query,time
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_C1.txt, 1:03.57
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_C2.txt, 0:09.77
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_C3.txt, 18:52.40
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F1.txt, 0:06.48
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F2.txt, 0:05.56
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F3.txt, 0:11.27
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F4.txt, 0:02.65
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F5.txt, 0:33.49
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L1.txt, 0:52.94
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L2.txt, 0:31.21
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L3.txt, 0:34.99
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L4.txt, 0:10.66
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L5.txt, 1:06.03
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S1.txt, 3:46.32
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S2.txt, 0:16.93
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S3.txt, 0:18.61
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S4.txt, 0:16.49
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S5.txt, 0:10.99
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S6.txt, 0:02.34
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_S7.txt, 0:01.38
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_C1.txt, 0:00.73
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_C2.txt, 0:00.38
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_C3.txt, 0:05.77
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_F1.txt, 0:00.26
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_F2.txt, 0:00.31
watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_11_F3.txt, 0:00.39
