query,time
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_C1.txt, 6:16.07
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_C2.txt, 21:18.74
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_C3.txt, 1:45:46
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_F1.txt, 0:08.34
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_F2.txt, 0:11.49
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_F3.txt, 0:10.32
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_F4.txt, 2:05.82
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_F5.txt, 1:28.57
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_L1.txt, 0:56.57
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_L2.txt, 6:22.58
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_L3.txt, 0:40.33
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_L4.txt, 0:44.23
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_L5.txt, 0:18.25
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S1.txt, 1:26.38
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S2.txt, 0:14.44
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S3.txt, 1:32.03
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S4.txt, 0:58.66
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S5.txt, 0:06.12
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S6.txt, 0:12.97
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S7.txt, 0:05.19
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_C1.txt, 0:11.14
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_C2.txt, 21:40.51
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_C3.txt, 1:45:58
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_F1.txt, 0:37.96
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_F2.txt, 1:22.97
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_F3.txt, 0:10.27
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_F4.txt, 0:12.51
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_F5.txt, 1:27.27
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_L1.txt, 0:05.33
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_L2.txt, 6:22.21
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_L3.txt, 0:39.78
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_L4.txt, 0:45.06
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_L5.txt, 0:18.42
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_S1.txt, 1:25.82
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_S2.txt, 0:14.44
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_S3.txt, 1:30.45
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_S4.txt, 0:58.19
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_S5.txt, 1:46.70
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_S6.txt, 0:12.90
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_S7.txt, 0:05.34
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_12_C1.txt, 6:19.34
