query,time
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_C1.txt, 0:36.63
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_C2.txt, 1:34.31
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_C3.txt, 7:25.82
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_F1.txt, 0:02.92
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_F2.txt, 0:04.81
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_F3.txt, 0:00.84
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_F4.txt, 0:09.21
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_F5.txt, 0:05.42
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_L1.txt, 0:05.95
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_L2.txt, 0:39.64
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_L3.txt, 0:03.42
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_L4.txt, 0:04.35
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_L5.txt, 0:01.79
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S1.txt, 0:06.32
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S2.txt, 0:01.50
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S3.txt, 0:10.11
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S4.txt, 0:05.45
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S5.txt, 0:10.08
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S6.txt, 0:00.90
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_10_S7.txt, 0:00.62
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_C1.txt, 0:28.09
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_C2.txt, 1:27.64
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_C3.txt, 7:04.74
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_F1.txt, 0:03.62
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_F2.txt, 0:05.44
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_F3.txt, 0:00.88
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_F4.txt, 0:08.49
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_F5.txt, 0:05.68
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_L1.txt, 0:04.75
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_L2.txt, 0:36.27
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_L3.txt, 0:03.66
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_L4.txt, 0:04.43
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_L5.txt, 0:01.61
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_S1.txt, 0:06.62
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_S2.txt, 0:01.17
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_S3.txt, 0:09.39
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_S4.txt, 0:05.21
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_S5.txt, 0:09.83
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_S6.txt, 0:00.96
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_11_S7.txt, 0:00.57
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_12_C1.txt, 0:28.27
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_12_C2.txt, 1:32.07
watdiv/watdiv/bin/Release/datasets/500k/gen_queries/gen_queries_12_C3.txt, 7:00.03
